impd,u,metric,value,reg
ELDR,0.36,bfm,NA,protected_slot
ELDR,0.38,bfm,NA,protected_slot
ELDR,0,spr,0.4538962,maximum
ELDR,0.02,spr,0.8447555,maximum
ELDR,0.04,spr,0.7174922,maximum
ELDR,0.06,spr,0.6126964,maximum
ELDR,0.08,spr,0.5259907,maximum
ELDR,0.1,spr,0.4538962,maximum
ELDR,0.12,spr,0.3936444,maximum
ELDR,0.14,spr,0.3430279,maximum
ELDR,0.16,spr,0.3002831,maximum
ELDR,0.18,spr,0.2639976,maximum
ELDR,0.2,spr,0.2330367,maximum
ELDR,0.22,spr,0.2064860,maximum
ELDR,0.24,spr,0.1836060,maximum
ELDR,0.26,spr,0.1637962,maximum
ELDR,0.28,spr,0.1465673,maximum
ELDR,0.3,spr,0.1315185,maximum
ELDR,0.32,spr,0.1183202,maximum
ELDR,0.34,spr,0.1067000,maximum
ELDR,0.36,spr,0.0964320,maximum
ELDR,0.38,spr,0.0873274,maximum
ELDR,0,spr,0.4538339,no_length
ELDR,0.02,spr,0.8447062,no_length
ELDR,0.04,spr,0.7174217,no_length
ELDR,0.06,spr,0.6126212,no_length
ELDR,0.08,spr,0.5259198,no_length
ELDR,0.1,spr,0.4538339,no_length
ELDR,0.12,spr,0.3935921,no_length
ELDR,0.14,spr,0.3429855,no_length
ELDR,0.16,spr,0.3002497,no_length
ELDR,0.18,spr,0.2639718,no_length
ELDR,0.2,spr,0.2330172,no_length
ELDR,0.22,spr,0.2064714,no_length
ELDR,0.24,spr,0.1835953,no_length
ELDR,0.26,spr,0.1637885,no_length
ELDR,0.28,spr,0.1465618,no_length
ELDR,0.3,spr,0.1315146,no_length
ELDR,0.32,spr,0.1183175,no_length
ELDR,0.34,spr,0.1066982,no_length
ELDR,0.36,spr,0.0964307,no_length
ELDR,0.38,spr,0.0873265,no_length
ELDR,0,spr,0.2864691,protected_slot
ELDR,0.02,spr,0.7793255,protected_slot
ELDR,0.04,spr,0.6070867,protected_slot
ELDR,0.06,spr,0.4727529,protected_slot
ELDR,0.08,spr,0.3680458,protected_slot
ELDR,0.1,spr,0.2864691,protected_slot
ELDR,0.12,spr,0.2229342,protected_slot
ELDR,0.14,spr,0.1734608,protected_slot
ELDR,0.16,spr,0.1349402,protected_slot
ELDR,0.18,spr,0.1049473,protected_slot
ELDR,0.2,spr,0.0815923,protected_slot
ELDR,0.22,spr,0.0634042,protected_slot
ELDR,0.24,spr,0.0492380,protected_slot
ELDR,0.26,spr,0.0382034,protected_slot
ELDR,0.28,spr,0.0296081,protected_slot
ELDR,0.3,spr,0.0229136,protected_slot
ELDR,0.32,spr,0.0177012,protected_slot
ELDR,0.34,spr,0.0136449,protected_slot
ELDR,0.36,spr,0.0104909,protected_slot
ELDR,0.38,spr,0.0080412,protected_slot
ELDR,0,yield,0.1991337,maximum
ELDR,0.02,yield,0.0642357,maximum
ELDR,0.04,yield,0.1128794,maximum
ELDR,0.06,yield,0.1497779,maximum
ELDR,0.08,yield,0.1778107,maximum
ELDR,0.1,yield,0.1991337,maximum
ELDR,0.12,yield,0.2153622,maximum
ELDR,0.14,yield,0.2277083,maximum
ELDR,0.16,yield,0.2370835,maximum
ELDR,0.18,yield,0.2441751,maximum
ELDR,0.2,yield,0.2495032,maximum
ELDR,0.22,yield,0.2534629,maximum
ELDR,0.24,yield,0.2563559,maximum
ELDR,0.26,yield,0.2584136,maximum
ELDR,0.28,yield,0.2598148,maximum
ELDR,0.3,yield,0.2606980,maximum
ELDR,0.32,yield,0.2611715,maximum
ELDR,0.34,yield,0.2613203,maximum
ELDR,0.36,yield,0.2612117,maximum
ELDR,0.38,yield,0.2608990,maximum
ELDR,0,yield,0.1992159,no_length
ELDR,0.02,yield,0.0643128,no_length
ELDR,0.04,yield,0.1129851,no_length
ELDR,0.06,yield,0.1498861,no_length
ELDR,0.08,yield,0.1779084,no_length
ELDR,0.1,yield,0.1992159,no_length
ELDR,0.12,yield,0.2154280,no_length
ELDR,0.14,yield,0.2277592,no_length
ELDR,0.16,yield,0.2371218,no_length
ELDR,0.18,yield,0.2442033,no_length
ELDR,0.2,yield,0.2495235,no_length
ELDR,0.22,yield,0.2534772,no_length
ELDR,0.24,yield,0.2563658,no_length
ELDR,0.26,yield,0.2584205,no_length
ELDR,0.28,yield,0.2598194,no_length
